id,ip,lokasi,url,user_agent,created_at
3,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:54:10
4,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:54:11
5,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:54:12
6,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:54:12
7,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/user/profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:13
8,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:14
9,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:14
10,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/logout,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:18
11,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:19
12,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:21
13,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:24
14,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:25
15,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:26
16,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:26
17,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:28
18,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:29
19,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:29
20,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-barang-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:29
21,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:29
22,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:29
23,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:30
24,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/pemeliharaan-rutin/get-kendaraan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:30
25,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:30
26,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/user/barang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:30
